date,ivix_50,ivix_1000,spread_1000_50,ratio_1000_50,z_20_spread,z_60_spread,z_60_ivix_1000,d1_ivix_1000,d3_ivix_1000,csi1000_close,signal_panic_reversal,signal_spread_revert,signal_spread_revert_confirmed,regime_state,regime_equity_exposure
2024-03-14,16.07,25.4,9.329999999999998,1.580584940883634,-1.322143522009956,0.6820607140621728,0.1815477057444855,-0.0378787878787878,-0.0589107076695072,5486.65,0,0,0,S2,80%-100%
2024-03-15,15.88,25.66,9.78,1.6158690176322417,-1.0610776679278533,0.7391915072382372,0.2045732946190576,0.0102362204724411,-0.0280303030303029,5555.64,0,0,0,S2,80%-100%
2024-03-18,15.94,25.44,9.500000000000002,1.5959849435382687,-1.1548813363900337,0.6614348798946232,0.1471743340450239,-0.0085736554949337,-0.0363636363636362,5648.01,0,0,0,S2,80%-100%
2024-03-19,15.72,25.58,9.859999999999998,1.6272264631043256,-0.8712144759662115,0.7028300082586035,0.1501268736824492,0.0055031446540878,0.0070866141732284,5607.48,0,0,0,S2,80%-100%
2024-03-20,15.85,25.32,9.47,1.5974763406940065,-1.008874212716299,0.6041549616283061,0.086691254062752,-0.0101641907740421,-0.0132501948558066,5659.15,0,0,0,S2,80%-100%
2024-03-21,15.74,25.23,9.49,1.6029224904701398,-0.9403910040060464,0.5827952809676056,0.049523284744547,-0.0035545023696682,-0.0082547169811321,5658.28,0,0,0,S2,80%-100%
2024-03-22,16.52,25.11,8.59,1.5199757869249395,-1.323524314147046,0.3853826122389425,0.0117712743343674,-0.004756242568371,-0.0183737294761532,5595.88,0,0,0,S2,80%-100%
2024-03-25,16.3,25.78,9.48,1.58159509202454,-0.8067664502143312,0.5375944543991636,0.1131289144367493,0.0266825965750696,0.018167456556082,5466.06,0,0,0,S2,80%-100%
2024-03-26,15.84,26.45,10.61,1.6698232323232325,-0.2667803352514427,0.7350984833649588,0.2136671793949268,0.025989138867339,0.0483551327784383,5447.75,0,0,0,S1,50%
2024-03-27,16.32,30.46,14.14,1.866421568627451,1.4638852879497544,1.384175901128779,0.90911873181555,0.1516068052930057,0.2130625248904818,5266.23,0,0,0,S0,20%
2024-03-28,15.4851118,27.76,12.2748882,1.7926896724116643,0.5337158141483372,0.984303300883693,0.3982264501968693,-0.0886408404464871,0.0768037238169123,5382.24,0,0,0,S1,50%
2024-03-29,15.03,27.76,12.730000000000002,1.8469727212242184,0.7560741111131206,1.038202410305374,0.3769969829681338,0.0,0.0495274102079394,5441.26,0,0,0,S0,20%
2024-04-01,15.03,25.88,10.85,1.7218895542248835,-0.1086008053023313,0.6459544186819515,0.0112522200647025,-0.0677233429394813,-0.1503611293499672,5559.06,0,0,0,S2,80%-100%
2024-04-02,14.74,25.98,11.24,1.762550881953867,0.2098562674951231,0.6966382429177931,0.0047851305905612,0.0038639876352395,-0.064121037463977,5531.05,0,0,0,S1,50%
2024-04-03,14.64,25.46,10.82,1.739071038251366,0.0594563411191833,0.5889742977235061,-0.1199500456222683,-0.0200153964588144,-0.0828530259365994,5500.93,0,0,0,S1,50%
2024-04-08,15.02,26.94,11.920000000000002,1.793608521970706,0.9598009928558804,0.7808522828007902,0.1410740146402822,0.0581304006284368,0.0409582689335394,5399.91,0,0,0,S1,50%
2024-04-09,14.92,26.44,11.52,1.772117962466488,0.6646567328459841,0.6743550111408039,0.0161497975084265,-0.0185597624350408,0.0177059276366435,5468.91,0,0,0,S1,50%
2024-04-10,14.81,26.44,11.63,1.7852802160702228,0.696821324472367,0.6708182760464945,-0.0082052419580854,0.0,0.0384917517674783,5367.05,0,0,0,S1,50%
2024-04-11,14.64,25.6,10.96,1.7486338797814207,0.1794839292037576,0.5100984817031656,-0.2048471135129019,-0.0317700453857791,-0.0497401633259094,5379.92,0,0,0,S1,50%
2024-04-12,14.94,25.25,10.31,1.6900937081659977,-0.3025499976156293,0.3520533940378292,-0.298812293385064,-0.013671875,-0.0450075642965204,5338.77,0,0,0,S1,50%
2024-04-15,15.5,27.22,11.72,1.7561290322580645,0.6490862558131839,0.6226108533126969,0.0970114880501702,0.0780198019801978,0.0295007564296518,5287.51,0,0,0,S1,50%
2024-04-16,16.14,32.01,15.869999999999996,1.983271375464684,2.7300170833456763,1.455026791513386,1.0924844491352097,0.1759735488611316,0.2503906249999998,5066.66,0,0,0,S0,20%
2024-04-17,15.41,29.47,14.06,1.91239454899416,1.4908367002244645,1.0372770060507217,0.5202126921499409,-0.0793502030615432,0.167128712871287,5287.46,0,0,0,S0,20%
2024-04-18,16.8,26.45,9.65,1.574404761904762,-0.9487915434440704,0.074205799942447,-0.162357805000497,-0.1024770953512046,-0.0282880235121234,5286.72,0,0,0,S1,50%
2024-04-19,17.4,26.4,9.0,1.517241379310345,-1.2747802130786887,-0.0838078889107648,-0.1965820206258426,-0.0018903591682419,-0.1752577319587629,5264.39,0,0,0,S1,50%
2024-04-22,15.56,28.24,12.679999999999998,1.8149100257069408,0.6514900890681963,0.6977082638743872,0.189055012951038,0.0696969696969695,-0.0417373600271462,5246.08,0,0,0,S1,50%
2024-04-23,15.19,27.45,12.26,1.8071099407504936,0.3420592898890011,0.577194249308866,-0.0215341671362452,-0.0279745042492917,0.0378071833648392,5218.43,0,0,0,S1,50%
2024-04-24,14.92,26.44,11.52,1.772117962466488,-0.1680521909181926,0.3788075248876422,-0.2965879894786443,-0.0367941712204006,0.0015151515151516,5305.61,0,0,0,S1,50%
2024-04-25,14.88,26.27,11.39,1.7654569892473118,-0.2775651550126166,0.3172618348679019,-0.3761787168901203,-0.0064296520423601,-0.0697592067988668,5313.99,0,0,0,S1,50%
2024-04-26,14.95670132,24.84,9.88329868,1.6607940125664018,-1.1289602741637923,-0.1051877245113357,-0.7599271818771096,-0.0544347164065474,-0.0950819672131146,5415.94,0,0,0,S2,80%-100%
2024-04-29,16.24,25.72,9.48,1.583743842364532,-1.2497270301059065,-0.2561248467648072,-0.5746871498987712,0.0354267310789049,-0.027231467473525,5545.23,0,0,0,S2,80%-100%
2024-04-30,15.02,24.89,9.87,1.6571238348868176,-0.9102520138982788,-0.1665835912129109,-0.8034083499984072,-0.0322706065318817,-0.0525314046440806,5497.43,0,0,0,S2,80%-100%
2024-05-06,16.01,26.02,10.009999999999998,1.6252342286071204,-0.7851443435416449,-0.1524248511673947,-0.5295721440990533,0.0453997589393331,0.0475040257648953,5606.84,0,0,0,S2,80%-100%
2024-05-07,15.2,25.52,10.32,1.6789473684210527,-0.5617574755974729,-0.1044215490760426,-0.705402377004766,-0.0192159877017679,-0.0077760497667185,5625.34,0,0,0,S2,80%-100%
2024-05-08,14.96,24.8,9.84,1.6577540106951871,-0.8102540699748634,-0.3100214802177368,-0.9480399079634776,-0.0282131661442005,-0.0036159100040176,5536.66,0,0,0,S2,80%-100%
2024-05-09,15.02,24.83,9.81,1.6531291611185086,-0.7568150691874481,-0.4660149007808052,-1.0176538663194592,0.0012096774193548,-0.0457340507302075,5626.83,0,0,0,S2,80%-100%
2024-05-10,14.89,24.81,9.919999999999998,1.6662189388851576,-0.6382389137547526,-0.5833968228487254,-1.0600310201089918,-0.0008054772452678,-0.0278213166144201,5574.23,0,0,0,S2,80%-100%
2024-05-13,14.64,25.46,10.82,1.739071038251366,-0.0874186959084191,-0.2108534443169311,-0.8342193532230952,0.0261991132607819,0.0266129032258064,5520.8,0,0,0,S2,80%-100%
2024-05-14,14.79,25.56,10.77,1.7281947261663286,-0.1111956830743563,-0.298149316060987,-0.777728581588898,0.0039277297721915,0.0293999194522756,5551.68,0,0,0,S2,80%-100%
2024-05-15,14.85,25.61,10.76,1.7245791245791249,-0.1307667613252933,-0.3291028757067324,-0.735527042184464,0.0019561815336464,0.0322450624748085,5497.23,0,0,0,S2,80%-100%
2024-05-16,14.35,24.51,10.160000000000002,1.70801393728223,-0.4386767401061509,-0.62300620859116,-1.0626240233160384,-0.0429519718859819,-0.0373134328358208,5488.95,0,0,0,S2,80%-100%
2024-05-17,14.08,23.42,9.340000000000002,1.663352272727273,-0.9804570250240604,-1.0781298122100929,-1.4396435669885586,-0.0444716442268461,-0.0837245696400624,5563.23,0,0,0,S2,80%-100%
2024-05-20,14.74,24.0,9.26,1.6282225237449115,-1.085636951130144,-1.1237205757807378,-1.264319958886194,0.0247651579846284,-0.06286606794221,5596.78,0,0,0,S2,80%-100%
2024-05-21,13.84,23.76,9.920000000000002,1.716763005780347,-0.4375970080021087,-0.6922320422735926,-1.3104028762006403,-0.0099999999999998,-0.0305997552019583,5536.74,0,0,0,S2,80%-100%
2024-05-28,13.84,23.76,9.920000000000002,1.716763005780347,-0.5081013382582535,-0.674653824015584,-1.2685252880494318,0.0,0.0145175064047822,5348.03,0,0,0,S1,50%
2024-06-03,13.92,22.78,8.860000000000001,1.636494252873563,-1.618154757088336,-1.291359199467348,-1.5844735648100392,-0.0412457912457913,-0.0508333333333332,5284.62,0,0,0,S1,50%
2024-06-04,13.71,22.81,9.099999999999998,1.6637490882567467,-1.3302483466421389,-1.122977386003477,-1.5249316326482751,0.0013169446883229,-0.0399831649831651,5313.71,0,0,0,S1,50%
2024-06-05,13.79,23.55,9.760000000000002,1.707759245830312,-0.3198756291412052,-0.7083228288378042,-1.2125734191411572,0.0324419114423499,-0.0088383838383838,5244.09,0,0,0,S1,50%
2024-06-06,14.05,25.33,11.279999999999998,1.802846975088968,2.1689487791142525,0.1881359433578537,-0.5054658795764443,0.0755838641188959,0.1119402985074624,5130.87,0,0,0,S1,50%
2024-06-07,14.11,24.28,10.170000000000002,1.720765414599575,0.3287701116790393,-0.4609169953637485,-0.9040329362003348,-0.041452822739834,0.0644454186760195,5153.59,0,0,0,S1,50%
2024-06-11,14.86,24.08,9.22,1.620457604306864,-1.174159404966349,-1.0073758810903843,-0.9645542801906244,-0.0082372322899506,0.0225053078556263,5198.92,0,0,0,S1,50%
